#2144,#21331,194,"Geological engineers","Geological engineers","Hydrogeology engineer",https://youtu.be/0euKFwZLAhw,Vancouver,Mainland/Southwest,"As a hydrogeological engineer, Emily’s goal is to prevent water contamination by studying ground water problems and designing solutions. As part of her work, she spends time in the field collecting data and inspecting damage to ground water systems such as wells. Emily is passionate about environmental and social issues and finds her career is the perfect blend of addressing both."
#3215,#32121,193,"Medical radiation technologists","Medical radiation technologists","Radiation therapist",https://youtu.be/OXS0lSll2nI,"Prince George",Cariboo,"Kaitlyn, a radiation therapist, plans and delivers radiation treatments to cancer patients. She counsels patients on side effects and supports them through their treatment process. Kaitlyn finds getting to know each patient, supporting them through treatment and celebrating their milestones the most rewarding aspects of her job."
#2171,#21221,192,"Information Systems Analysts and Consultants","Business systems specialist","Business data analyst",https://youtu.be/zKr1YIi5f6A,"Prince George",Cariboo,"Ruby, a member of the Wet'suwet'en Nation, is a business data analyst for Northern Health in the Lheidli T'enneh territory. She uses her math and problem-solving skills to tell a story with data. Ruby finds her work meaningful because she can use data to make a positive impact in her community. She encourages Indigenous people to pursue a career in data analytics so they can have a say in how data is collected, used and seen."
#4031,#41220,191,"Secondary school teachers","Secondary school teacher","Secondary school art teacher",https://youtu.be/oUyNDMdus5U,Smithers,"North Coast & Nechako","Perry helps students succeed academically and personally through his work as a secondary school art teacher. He cultivates hands-on creative experiences for his students in his classroom that he operates like an open studio. Perry expresses how much teachers, including himself, care about their students and want to make school a positive environment for them to learn, grow and prepare for their future."
#2173,#21211,190,"Software engineers and designers","Data scientists","Machine learning engineer",https://youtu.be/2BackbDu2aY,Vancouver,Mainland/Southwest,"Suro, a machine learning engineer, spends his days building credit models and doing credit risk assessments for small businesses. Through his work, Suro helps small businesses receive the funding they need to stay competitive and grow. He says people entering this career should commit to life-long learning and absorbing knowledge from others in the industry."
#2241,#22310,189,"Electrical and electronic engineering technologists and technicians","Electrical and electronic engineering technologists and technicians","Marine technician and remotely operated vehicle (ROV) pilot",https://youtu.be/e5CBflHUPDs,"Prince Rupert","North Coast & Nechako","Hamza, a marine technician and remote vehicle pilot, uses his math skills, curiosity and patience to maintain the fleet of tugboats at SAAM Towage in Prince Rupert. He uses tools such as remotely operated vehicles for underwater inspections, ensuring that the boats are in safe working condition. "
#3219,#33103,188,"Other medical technologists and technicians (except dental health)","Pharmacy technical assistants and pharmacy assistants","Pharmacy assistant",https://youtu.be/t9Ir5Mb-HwY,Terrace,"North Coast & Nechako","As a pharmacy assistant, Tish works in a retail environment and prepares prescriptions for patients, ensuring they receive the correct medications and dosages. Tish also recommends over-the-counter medications to those who come into the pharmacy seeking advice. Tish enjoys working in a team where everyone’s roles and responsibilities complement one another to achieve the same goal of helping people feel better."
#7294,#73112,187,"Painter and decorators (except interior decorators)","Painter and decorators (except interior decorators)",Painter,https://youtu.be/dJBJZVyMnVQ,"Dawson Creek",Northeast,"Karla runs her own painting business and uses her skills to help people feel happier in their workplace or home. She pays careful attention to detail, ensuring her customers get a high-quality result. Karla’s favourite part of her job is meeting people and getting to brighten their day by going above and beyond their expectations. "
#2121,#21110,186,"Biologists and related scientists","Biologists and related scientists","Marine ecosystems biologist",https://youtu.be/Y-5nEOk69lY,"Prince George",Cariboo,"Aaron’s work as an aquatic ecosystems biologist involves field work like collecting and observing environmental samples and in-office work such as data analysis and report writing. A career as a biologist is a great choice for those that love being outdoors, are passionate about the environment and don’t mind getting their hands dirty."
#2171,#21220,185,"
Information systems analysts and consultants","Cybersecurity specialists","Cybersecurity analyst",https://youtu.be/aAVrYtZyo50,"Prince George",Cariboo,"As a cybersecurity analyst for the College of New Caledonia, Hawkeye monitors, prevents and responds to cyberattacks, ensuring the safety of data and systems. His work involves investigation and problem solving, which make Hawkeye feel like a detective. He also regularly researches to stay up to date on evolving cyber threats. His job isn’t always easy, but he enjoys solving problems and having positive interactions with the people he is helping and his colleagues in the field."
#7241,#72200,184,"Electricians (Except Industrial and Power System)","Electricians (except industrial and power system)",Electrician,https://youtu.be/Iphb6H8B9W4,Kelowna,Thompson-Okanagan,"Chad, a master electrician in Kelowna, answers service calls to fix electrical issues in residences. He also completes renovations and new building projects for clients. Chad gives Mariam an overview of the tools he needs to do his job and explains the process of becoming a certified Red Seal electrician. "
#4214,#42202,183,"Early childhood educators and assistants","Early childhood educators and assistants","Early childhood educator",https://youtu.be/Itg5PS29BKU,Kelowna,Thompson-Okanagan,"Brenna, early childhood educator and manager of Kelowna’s Aboriginal Head Start program, works with three- to five-year-old children of First Nations, Métis and Inuit heritage to teach them language, social skills and cultural identity. Giving children the opportunity to be proud of who they are and where they come from is the most fulfilling aspect of Brenna’s work."
#0213,#20012,182,"Computer and information Systems Managers","Computer and information systems managers","Computer and information systems manager",https://youtu.be/GYV76mxDL4Q,Vancouver,Mainland/Southwest,"Osner, a computer and information systems manager in Vancouver, translates human language into code, bringing client ideas into reality, usually with the goal of simplifying tasks via software. Osner emphasizes the importance of ongoing learning in this career field as technology is always changing and evolving."
#2174,#21232,181,"Computer programmers and interactive media developers","Software developers and programmers","Virtual reality software developer",https://youtu.be/8OoS_PLEMm0,Vancouver,Mainland/Southwest,"Aamrah, a virtual reality software developer in Vancouver, walks Mariam through the process of developing a virtual reality game. Problem-solving through creativity, logic, math and coding makes Aamrah feel like she’s a wizard doing magic!"
#4152,#41300,180,"Social workers","Social workers","Social worker",https://youtu.be/vtgOv5ap5IA,Nelson,Kootenay,"Malorie works as the service accessibility manager at the Kootenay Career Development Society in Nelson to develop programs and provide services to help people facing barriers to employment. The most rewarding part of Malorie’s career in social work is feeling like she’s helping to make the world a better place.  "
#4032,#41221,179,"Elementary school and Kindergarten Teachers","Elementary school and kindergarten teachers","Kindergarten teacher",https://youtu.be/D6QlqkQu5mU,Victoria,"Vancouver Island/Coast","Carolyn, a kindergarten teacher in Victoria, guides her students to becoming mindful individuals. The most rewarding part of her job is watching her students grow and gain the language needed to express themselves. "
#2131,#21300,178,"Civil Engineers","Civil engineers","Civil engineer",https://youtu.be/SmOXVn0NRjk,Victoria,"Vancouver Island/Coast","Corey, civil engineer and owner of Gwaii Engineering in Victoria, works with land surveyors and architects to plan, design and develop infrastructure. Corey’s clients are often private land developers but also First Nations communities. The most rewarding part of his job is servicing his community. "
#6341,#63210,177,"Hairstylist and Barber","Hairstylists and barbers",Barber,https://youtu.be/P_qh9m4lkcY,Victoria,"Vancouver Island/Coast","Troy, owner of Status Barber Shop in Victoria, shows Mariam the tools and processes barbers use to give their customers great haircuts and styles. Troy feels passionately about helping people look and feel their best.  "
#7521,#73400,176,"Heavy Equipment Operators (Except Crane)","Heavy equipment operators","Heavy equipment operator",https://youtu.be/8oj2YxsdmQM,Nelson,Kootenay,"Matt, owner of Kays Contracting in Nelson, describes the daily tasks and responsibilities of heavy equipment operators, emphasizing the amount of planning and attention to detail required. Matt has learned through experience that a career in trades is rewarding and there are always new and exciting projects to work on."
#7321,#72410,175,"Automotive Service Technicians, Truck and Bus Mechanics and Mechanical Repairers","Automotive service technicians, truck and bus mechanics and mechanical repairers","Electric vehicle mechanic",https://youtu.be/k8klzO8Jaco,Nelson,Kootenay,"Doug, automotive service technician and owner of Downtown Automotive in Nelson, solves his customers’ car problems and educates them on how to take care of their vehicles. He demonstrates hands-on how to access the computer system of an electric vehicle. Doug stresses the importance of specializing in a particular area of the trade due to the different types of automotive transportation. Solving problems is the most rewarding part of his career."
#3114,#31103,174,Veterinarian,Veterinarians,Veterinarian,https://youtu.be/mI2Swv-T610,Burnaby,Mainland/Southwest,"Being a veterinarian involves the care and well being of animals. Mariam watches as Caitlin performs a physical exam on a dog named Miss Piglet. Caitlin shares that working in animal medicine is like solving a mystery, looking at pattern recognition and trying to put the pieces together."
