"label","endpoint","datapoint","filename","sheet","range","author","date","period"
"B.C. Labour Market Information Office, derived from 2023 Job Bank Wage data","wages",,"WorkBC_2023_Wage_Data_Jan29_24","Sheet1","A2-G513",,"2024/01/29 08:00","2023/01/01 08:00"
,"titles",,"2021NOC_CommonJobTitles_IllustrativeListing_Feb16_2024","CommonJobTitles_NOC2021_fina","A2-D4768",,"2024/02/16 08:00","2021/01/01 08:00"
,"skills",,"Top skills by NOC2021 occupations_Feb12_24","Sheet 1","A2-G17921",,"2024/02/12 08:00","2021/01/01 08:00"
"B.C. Labour Market Outlook","openings_careers",,"Job_Openings_by_Industry_LMO_2023_Jan22_24","Career Profiles","A5-Q515",,"2024/04/09 08:00","2023/01/01 08:00"
,"education",,"All_Occupations'_TEERs_2023_Jan22_24","Sheet 1","A2-D513",,"2024/01/22 08:00","2023/01/01 08:00"
"2021 Census","census",,"2021_Census_Jan18_23","Career Profiles","A5-R516",,"2023/01/18 08:00","2021/01/01 08:00"
"B.C. Labour Market Outlook","career_regional",,"WorkBC_Career_Profile_Data_2023_Apr5_24","Regional Outlook","A5-AC516",,"2024/04/05 08:00","2023/01/01 08:00"
"B.C. Labour Market Outlook","career_provincial",,"WorkBC_Career_Profile_Data_2023_Apr5_24","Provincial Outlook","A4-K515",,"2024/04/05 08:00","2023/01/01 08:00"
,"high_opportunity_occupations",,"HOO_BC_and_Region_for_new_tool_2023_Jan22_24","Sheet1","A2-O850","B.C. Labour Market Information Office","2024/01/22 08:00","2023/01/01 08:00"
,"occupational_interests",,"Occupational_Interests_2023_Apr5_24","Sheet1","A2-C1537",,"2024/04/05 08:00","2023/01/01 08:00"
"Monthly Labour Force Survey, 3-month moving average, seasonally unadjusted","monthly_labour_market_updates","unemployment_pct",,,,,,"1971/11/26 08:00"
"B.C. Labour Market Outlook","industry_outlook",,"WorkBC_Industry_Profile_2023__Jan24_24","BC","A3-H20",,"2024/04/09 08:00","2023/01/01 08:00"
,"openings_industry",,"top_10_careers_by_aggregate_industry_2023__Jan22_24","Sheet 1","A2-D181",,"2024/04/09 08:00","2023/01/01 08:00"
"2023 Labour Force Survey","labour_force_survey_industry",,"2023_LFS_data_sheet_Feb6_24","Industry Profiles","A5-BC23","BC Labour Market Information Office","2024/04/09 08:00","2023/01/01 08:00"
"2023 Labour Force Survey","labour_force_survey_regional_employment",,"2023_LFS_data_sheet_Feb6_24","Regional Profiles","A6-V13","BC Labour Market Information Office","2024/02/06 08:00","2023/01/01 08:00"
"2023 Labour Force Survey","labour_force_survey_regional_industry_region",,"2023_LFS_data_sheet_Feb6_24","Regional Profiles","A21-AK28","BC Labour Market Information Office","2024/02/06 08:00","2023/01/01 08:00"
"2023 Labour Force Survey","labour_force_survey_regional_industry_province",,"2023_LFS_data_sheet_Feb6_24","Regional Profiles","A35-U42","BC Labour Market Information Office","2024/02/06 08:00","2023/01/01 08:00"
"B.C. Labour Market Outlook","regional_labour_market_outlook",,"WorkBC_Regional_Profile_Data_2023__Jan24_24","Regional Profiles - LMO","A5-L12",,"2024/01/24 08:00","2023/01/01 08:00"
"B.C. Labour Market Outlook","regional_top_occupations",,"WorkBC_Regional_Profile_Data_2023__Jan24_24","Top Occupation","A5-D73",,"2024/01/24 08:00","2023/01/01 08:00"
,"career_trek",,"WorkBC_Career_Trek_2023__Apr25_24","LMO","A2-G185",,"2024/04/25 08:00","2023/01/01 08:00"
,"career_search_openings",,"Career_Search_Tool_Job_Openings_2023_Apr29_24","Sheet 1","A2-L35617",,"2024/04/29 08:00","2023/01/01 08:00"
,"career_search_groups",,"career_search_tool_occupation_groups_manual_update_2023_Apr29_24","Sheet 1","A2-C10506",,"2024/04/29 08:00","2023/01/01 08:00"
,"career_transition_opportunities",,"FINAL_Career Transition Tool_Opportunities_05_2024","Sheet 1","A2-I10041",,"2024/05/15 08:00","2023/01/01 08:00"
,"onet_nocs",,"onet2019_soc2018_noc2016_noc2021_crosswalk","Sheet1","A2-F1977",,"2024/09/17 08:00","2021/01/01 08:00"
,"nocs",,"NOC2021/*",,,,"2024/07/08 08:00","2021/01/01 08:00"
,"industries",,"EDM/*",,,,"2024/04/15 08:00","2021/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_10y",,"LMO 2024E Charts and Tables 2024 09 05","Figure 1.1-1","A4-C17",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_annual",,"LMO 2024E Charts and Tables 2024 09 05","Figure 1.2-1","A4-L17",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_new_supply_annual",,"LMO 2024E Charts and Tables 2024 09 05","Figure 1.2-2","A4-L26",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_teers",,"LMO 2024E Charts and Tables 2024 09 05","Figure 2-1","B5-F11",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_industries",,"LMO 2024E Charts and Tables 2024 09 05","Figure 3-1","O3-U23",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_broad_categories",,"LMO 2024E Charts and Tables 2024 09 05","Figure 4.1-1","A5-J17",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_occupations_altgrp_top5",,"LMO 2024E Charts and Tables 2024 09 05","Table 4.1-1","A5-G31",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_regions",,"LMO 2024E Charts and Tables 2024 09 05","Table 5-1","A5-F12",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_vancouver_island_coast",,"LMO 2024E Charts and Tables 2024 09 05","Table 5.1-1","A5-F10",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_mainland_southwest",,"LMO 2024E Charts and Tables 2024 09 05","Table 5.2-1","A5-F10",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_thompson_okanagan",,"LMO 2024E Charts and Tables 2024 09 05","Table 5.3-1","A5-F10",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_kootenay",,"LMO 2024E Charts and Tables 2024 09 05","Table 5.4.-1","A5-F10",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_cariboo",,"LMO 2024E Charts and Tables 2024 09 05","Table 5.5-1","A5-F10",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_north_coast_nechako",,"LMO 2024E Charts and Tables 2024 09 05","Table 5.6-1","A5-F10",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_northeast",,"LMO 2024E Charts and Tables 2024 09 05","Table 5.7-1","A5-F10",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_industries_full",,"LMO 2024E Charts and Tables 2024 09 05","Appendix 3","A5-H84",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_occupations_full",,"LMO 2024E Charts and Tables 2024 09 05","Appendix 4","A5-G516",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_occupations_altgrp",,"LMO 2024E Charts and Tables 2024 09 05","Appendix 5","A5-G516",,"2024/09/05 08:00","2024/01/01 08:00"
"B.C. Labour Market Outlook","lmo_report_2024_job_openings_occupations_high",,"LMO 2024E Charts and Tables 2024 09 05","Appendix 6","A5-G129",,"2024/09/05 08:00","2024/01/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2021 Jan FINAL","Sheet3",,,"2021/02/01 08:00","2021/01/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2021 Feb FINAL","Sheet3",,,"2021/03/01 08:00","2021/02/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2021 Mar FINAL","Sheet3",,,"2021/04/01 08:00","2021/03/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2021 Apr FINAL","Sheet3",,,"2021/05/01 08:00","2021/04/01 08:00"
"Labour Force Survey (monthly, seasonally adjusted)","monthly_labour_market_updates",,"REFRESH_WorkBC LMS _2021 May FINAL","Sheet3",,,"2021/06/01 08:00","2021/05/01 08:00"
