"Construction trades occupations",#75110,"Construction trades helpers and labourers",33540,12300,6010,6290,5
"Construction trades occupations",#72310,Carpenters,32050,11880,5130,6750,2
"Construction trades occupations",#73400,"Heavy equipment operators",13930,5140,1420,3720,3
"Construction trades occupations",#72200,"Electricians (except industrial and power system)",15630,4280,2370,1910,2
"Construction trades occupations",#72300,Plumbers,9530,3230,1570,1660,2
"Construction trades occupations",#72106,"Welders and related machine operators",10410,3130,1050,2080,2
"Construction trades occupations",#73112,"Painters and decorators (except interior decorators)",7920,3100,1280,1820,3
"Construction trades occupations",#72400,"Construction millwrights and industrial mechanics",8130,2810,480,2330,2
"Construction trades occupations",#72401,"Heavy-duty equipment mechanics",8130,2440,680,1760,2
"Construction trades occupations",#73102,"Plasterers, drywall installers and finishers and lathers",4270,1630,710,930,3
"Construction trades occupations",#22114,"Landscape and horticulture technicians and specialists",4560,1550,540,1010,2
"Construction trades occupations",#72402,"Heating, refrigeration and air conditioning mechanics",3410,1460,800,650,2
"Construction trades occupations",#72201,"Industrial electricians",3250,1040,170,880,2
"Construction trades occupations",#73110,"Roofers and shinglers",3030,1030,410,620,3
"Construction trades occupations",#72500,"Crane operators",2440,1010,380,630,2
"Construction trades occupations",#72301,"Steamfitters, pipefitters and sprinkler system installers",2410,920,410,520,2
"Construction trades occupations",#72102,"Sheet metal workers",2920,870,370,500,2
"Construction trades occupations",#73101,Tilesetters,1780,810,330,480,3
"Construction trades occupations",#72311,Cabinetmakers,2160,770,150,620,2
"Construction trades occupations",#73113,"Floor covering installers",1960,720,290,430,3
"Construction trades occupations",#72104,"Structural metal and platework fabricators and fitters",1980,630,160,470,2
"Construction trades occupations",#72105,Ironworkers,2060,630,280,350,2
"Construction trades occupations",#72320,Bricklayers,1450,580,240,340,2
"Construction trades occupations",#72999,"Other technical trades and related occupations",1750,570,110,450,2
"Construction trades occupations",#73111,Glaziers,1700,530,240,290,3
"Construction trades occupations",#73100,"Concrete finishers",1350,530,250,280,3
"Construction trades occupations",#72203,"Electrical power line and cable workers",1410,490,130,360,2
"Construction trades occupations",#72321,Insulators,1150,410,170,240,2
"Construction trades occupations",#72302,"Gas fitters",950,380,130,240,2
"Construction trades occupations",#22312,"Industrial instrument technicians and mechanics",1030,290,50,240,2
"Construction trades occupations",#72422,"Electrical mechanics",300,140,40,100,2
"Construction trades occupations",#84101,"Oil and gas well drilling and related workers and services operators",380,90,10,80,4
"Construction trades occupations",#72103,Boilermakers,270,70,10,60,2
"Construction trades occupations",#72420,"Oil and solid fuel heating mechanics",40,20,0,20,2
"Construction trades occupations",#72501,"Water well drillers",20,0,0,0,2
"Skilled Trades Certification Occupations",#72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers",18250,5310,1320,3990,2
"Skilled Trades Certification Occupations",#72200,"Electricians (except industrial and power system)",15630,4280,2370,1910,2
"Skilled Trades Certification Occupations",#72401,"Heavy-duty equipment mechanics",8130,2440,680,1760,2
"Skilled Trades Certification Occupations",#72402,"Heating, refrigeration and air conditioning mechanics",3410,1460,800,650,2
"Skilled Trades Certification Occupations",#72411,"Auto body collision, refinishing and glass technicians and damage repair estimators",4110,1150,130,1020,2
"Skilled Trades Certification Occupations",#72201,"Industrial electricians",3250,1040,170,880,2
"Skilled Trades Certification Occupations",#72301,"Steamfitters, pipefitters and sprinkler system installers",2410,920,410,520,2
"Skilled Trades Certification Occupations",#72102,"Sheet metal workers",2920,870,370,500,2
"Skilled Trades Certification Occupations",#72203,"Electrical power line and cable workers",1410,490,130,360,2
"Skilled Trades Certification Occupations",#72302,"Gas fitters",950,380,130,240,2
"Science, Technology, Engineering and Mathematics (STEM) occupations",#21231,"Software engineers and designers",22660,11670,7790,3880,1
"Science, Technology, Engineering and Mathematics (STEM) occupations",#21222,"Information systems specialists",16390,9140,5060,4080,1
"Science, Technology, Engineering and Mathematics (STEM) occupations",#21232,"Software developers and programmers",16710,8940,6280,2650,1
"Science, Technology, Engineering and Mathematics (STEM) occupations",#20012,"Computer and information systems managers",13140,8850,3930,4920,0
"Science, Technology, Engineering and Mathematics (STEM) occupations",#52120,"Graphic designers and illustrators",18310,6600,3850,2750,2
"Science, Technology, Engineering and Mathematics (STEM) occupations",#21234,"Web developers and programmers",10000,4810,3690,1120,1
"Science, Technology, Engineering and Mathematics (STEM) occupations",#21300,"Civil engineers",10950,4610,2320,2290,1
"Science, Technology, Engineering and Mathematics (STEM) occupations",#22220,"Computer network and web technicians",8740,4300,2200,2090,2
"Science, Technology, Engineering and Mathematics (STEM) occupations",#22221,"User support technicians",8260,4040,2230,1810,2
"Science, Technology, Engineering and Mathematics (STEM) occupations",#22311,"Electronic service technicians (household and business equipment)",8080,3260,1320,1930,2
"Science, Technology, Engineering and Mathematics (STEM) occupations",#21310,"Electrical and electronics engineers",7450,3200,1520,1680,1
"Science, Technology, Engineering and Mathematics (STEM) occupations",#20010,"Engineering managers",4770,2680,990,1690,0
