total_job_openings,"Total Job Openings (1,120,000)",1120000,1
expansion,"Expansion (449,000)",449000,0.40089285714285716
replacement,"Replacement (671,000)",671000,0.5991071428571428
supply_additions,"Supply Additions",1120000,1
young_people_starting_work,"Young people starting work",524000,0.46785714285714286
immigrants,Immigrants,518000,0.4625
migrants_from_other_provinces,"Migrants from other provinces",53000,0.04732142857142857
changing_labour_market_participation,"Changing labour market participation*",25000,0.022321428571428572
net_other_mobility,"Net other mobility",20000,0.017857142857142856
decline_in_unemployment,"Decline in unemployment",5000,0.004464285714285714
