0,"Legislative and senior management occupations","This broad category comprises legislators and senior management occupations.","Membres des corps législatifs et cadres supérieurs/cadres supérieures","Cette grande catégorie comprend les membres de corps législatifs et les cadres supérieurs.",1,,,0
1,"Business, finance and administration occupations","This broad category comprises specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting), as well as professional occupations in finance and business; administrative and financial supervisors and specialized administrative occupations; administrative occupations and transportation logistics occupations; and administrative and financial support and supply chain logistics occupations.","Affaires, finance et administration","Cette grande catégorie comprend les professions qui touchent le personnel d'encadrement intermédiaire spécialisé dans les services administratifs, les services financiers et commerciaux et la communication (sauf la radiodiffusion), ainsi que le personnel professionnel en finance et en gestion des affaires; le personnel de supervision du travail administratif et financier et personnel administratif spécialisé; le personnel administratif et personnel de la logistique du transport; et le personnel de soutien administratif et finance et en logistiques de chaîne d'approvisionnement.",1,,,1
2,"Natural and applied sciences and related occupations","This broad category comprises occupations in natural sciences (including basic and applied sciences and experimental development), engineering, architecture and information technology. These occupations cover specialized middle management occupations in engineering, architecture, science and information systems; professional occupations in natural sciences (basic and applied sciences and experimental development); and technical occupations related to natural sciences (including basic and applied sciences and experimental development).","Sciences naturelles et appliquées et domaines apparentés","Cette grande catégorie comprend les professions en sciences naturelles (y compris les sciences fondamentales et appliquées, et le développement expérimental), en génie, en architecture et en technologie de l'information. Ces occupations couvrent les cadres intermédiaires spécialisés/cadres intermédiaires spécialisées en génie, en architecture, en sciences et en systèmes informatiques; le personnel professionnel des sciences naturelles (sciences fondamentales et appliquées, et recherche et développement); et le personnel technique assimilé aux sciences naturelles (y compris les sciences fondamentales et appliquées, et le développement expérimental).",1,,,2
3,"Health occupations","This broad category comprises specialized middle management occupations in health care, as well as occupations concerned with providing health care services directly to patients (professional and technical occupations in health) and occupations that provide support to health services.","Secteur de la santé","Cette grande catégorie comprend les cadres intermédiaires spécialisés/cadres intermédiaires spécialisées des soins de santé, ainsi que les professions touchant la prestation directe de services de soins de santé aux patients (professionnels et techniciens des soins de santé), ainsi que les professions de soutien au services de santé.",1,,,3
4,"Occupations in education, law and social, community and government services","This broad category comprises managers in public administration, in education and social and community services and in public protection services, as well as occupations concerned with teaching, law, counselling, conducting social science research, developing government policy, and administering government and other programs, and related support occupations.","Enseignement, droit et services sociaux, communautaires et gouvernementaux","Cette grande catégorie comprend les directeurs/directrices de la fonction publique, de l'enseignement et des services sociaux et communautaires et des services de la protection du public, et englobe également les professions touchant à l'enseignement, au droit, au counseling, à la recherche en sciences sociales, à l'élaboration de politiques publiques et à l'administration de programmes gouvernementaux et de programmes des autres secteurs, et leurs personnels de soutien.",1,,,4
5,"Occupations in art, culture, recreation and sport","This broad category comprises specialized middle management occupations in art, culture, recreation and sport, as well as professional, technical, support and other occupations concerned with art and culture (including the performing arts, film and video, broadcasting, journalism, writing, creative design, libraries and museums), recreation and sports.","Arts, culture, sports et loisirs","Cette grande catégorie comprend les cadres intermédiaires spécialisés/cadres intermédiaires spécialisées des arts, de la culture, des sports et des loisirs, et englobe également le personnel professionnel, le personnel technique, le personnel du support et les autres professions des arts et de la culture (y compris celles touchant les arts du spectacle, le film et la vidéo, la radiotélédiffusion, le journalisme, la rédaction, le design créatique, la bibliothéconomie et la muséologie), des loisirs et des sports.",1,,,5
6,"Sales and service occupations","This broad category comprises middle management occupations in wholesale and retail trade, and customer services, as well as occupations concerned with wholesale and retail sales, and customer, personal and support service occupations related to a wide range of industries, such as accommodation and food services, travel, tourism and cleaning services.","Vente et services","Cette grande catégorie comprend les cadres intermédiaires dans les commerces de gros et de détail, et les services à la clientèle, ainsi que les professions dans les domaines de la vente en gros et au détail, et englobe également les professions des services à la clientèle, des services personnels et des services de soutien liés à un large éventail d'industries, tels que les services d'hébergement et de restauration, les voyages, les services de tourisme et de nettoyage.",1,,,6
7,"Trades, transport and equipment operators and related occupations","This broad category comprises middle management occupations in trades, transportation and equipment, as well as occupations such as technical trades and transportation officers and controllers; general trades; mail and message distribution, other transport equipment operators and related maintenance workers; and helpers and labourers and other transport drivers, operators and labourers.","Métiers, transport, machinerie et domaines apparentés","Cette grande catégorie comprend les cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique, ainsi que les professions telles que les officiers/officières et contrôleurs/contrôleuses des métiers techniques et des transports; les métiers généraux; le personnel au courrier et à la distribution de messages et autres conducteurs/conductrices de matériel de transport et personnel d'entretien assimilé; et les aides et ouvriers/ouvrières et autres opérateurs/opératrices et manoeuvres de transport et personnel assimilé.",1,,,7
8,"Natural resources, agriculture and related production occupations","This broad category comprises middle management occupations in natural resources, agriculture and related production, as well as occupations concerned with supervision and equipment operation in the natural resource-based sectors of mining, oil and gas production, forestry and logging, agriculture, horticulture and fishing. Harvesting, landscaping and natural resources labourers are also included. Most occupations in this category are industry specific and do not occur outside of the primary resources industries.","Ressources naturelles, agriculture et production connexe","Cette grande catégorie comprend les cadres intermédiaires dans les domaines des ressources naturelles, de l'agriculture et de la production connexe. Elle englobe également les professions reliées à la supervision et à la conduite de machines dans les secteurs d'exploitation des ressources naturelles, c'est-à-dire la production minière, pétrolière et gazière, la foresterie et l'abattage, l'agriculture, l'horticulture et la pêche. Les manoeuvres à la récolte, en aménagement paysager et en ressources naturelles sont aussi inclus. La plupart des professions comprises dans cette catégorie sont propres à l'industrie et ne se retrouvent pas en dehors de ces industries primaires.",1,,,8
9,"Occupations in manufacturing and utilities","This broad category comprises middle management occupations in manufacturing and utilities, as well as occupations concerned with supervisory, production and labouring in manufacturing, processing and utilities.","Fabrication et services d'utilité publique","Cette grande catégorie comprend les cadres intermédiaires de la fabrication et des services d'utilité publique. Elle englobe également les postes de supervision, de production et de main d'oeuvre dans les secteurs de la fabrication, de la transformation, et des services d'utilité publique.",1,,,9
00,"Legislative and senior managers","This major group comprises senior management occupations, including legislators and senior managers in the public and private sectors.","Membres des corps législatifs et cadres supérieurs / cadres supérieures","Ce grand groupe comprend les cadres supérieurs, y compris les membres des corps législatifs et les cadres supérieurs des secteurs public et privé.",2,0,0,00
10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","This major group comprises specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting). These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 0. The occupations classified under TEER 0, as those included in this group with zero (0) as the second digit of their code, are considered management occupations.","Cadres intermédiaires spécialisés / spécialisées des services administratifs, services financiers et des services aux entreprises et services de communications (sauf la radiotélédiffusion)","Ce grand groupe comprend le personnel d'encadrement intermédiaire spécialisé dans les services administratifs, les services financiers et commerciaux et la communication (sauf la radiodiffusion). Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion.",2,0,1,01
11,"Professional occupations in finance and business","This major group comprises professional occupations in finance and business. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 1. Occupations classified in TEER 1, as those in this group with a 1 as the second digit of their code, typically require a university degree (bachelor's, master's or doctorate) or the accumulation of several years of experience and expertise in the subject matter knowledge in a related occupation found in TEER 2 (which includes occupations with a 2 as a second digit in their code).","Personnel professionnel en finance et en gestion des affaires","Ce grand groupe comprend le personnel professionnel en finance et en gestion des affaires. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 1. Les professions du FEER 1, comme celles incluses dans ce grand groupe avec 1 comme deuxième chiffre dans leur code, exigent généralement un diplôme universitaire (baccalauréat, maîtrise ou doctorat) ou l'accumulation de plusieurs années d'expérience et d'expertise dans la connaissance du sujet matière dans une profession connexe trouvée dans FEER 2 (qui inclut des professions avec 2 comme deuxième chiffre dans leur code).",2,1,1,
13,"Administrative and financial supervisors and specialized administrative occupations","This major group comprises administrative occupations, transportation and production logistics coordinators and customs brokers, and related broker occupations. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 3. Occupations classified in TEER 3, as those included in this group with a 3 as the second digit of their code, typically require completion of a post-secondary education program of less than two years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of less than two years; or more than six months of on-the-job training, training courses or specific work experience with some secondary school education; or the accumulation of several years of experience in a related occupation found in TEER 4, when applicable (TEER 4 includes occupations with a 4 as a second digit in their code).","Personnel administratif et personnel de la logistique du transport","Ce grand groupe comprend le personnel administratif, les coordonnateur/coordonnatrice de la logistique de la production et du transport et courtiers/courtières en douanes, et les autres professions de courtiers/courtières. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 3. Les professions du FEER 3, comme celles incluses dans ce grand groupe avec 3 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de moins de deux ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de moins de deux ans; ou de la formation en cours d'emploi, cours de formation ou expérience de travail particulière de plus de six mois ou des études secondaires partielles; ou l'accumulation de plusieurs années d'expérience d'une profession connexe trouvée dans FEER 4, le cas échéant (FEER 4 inclut des professions avec 4 comme deuxième chiffre dans leur code).",2,3,1,
21,"Professional occupations in natural and applied sciences","This major group comprises professional occupations in natural sciences; professional occupations in applied sciences and professional occupations in engineering. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 1. Occupations classified in TEER 1, as those in this group with a 1 as the second digit of their code, typically require a university degree (bachelor's, master's or doctorate) or the accumulation of several years of experience and expertise in the subject matter knowledge in a related occupation found in TEER 2, when applicable (which includes occupations with a 2 as a second digit in their code).","Personnel professionnel des sciences naturelles et appliquées","Ce grand groupe comprend le personnel professionnel des sciences naturelles; le personnel professionnel des sciences appliquées; et le personnel professionnel en ingénierie. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 1. Les professions du FEER 1, comme celles incluses dans ce grand groupe avec 1 comme deuxième chiffre dans leur code, exigent généralement un diplôme universitaire (baccalauréat, maîtrise ou doctorat) ou l'accumulation de plusieurs années d'expérience et d'expertise dans la connaissance du sujet matière dans une profession connexe trouvée dans FEER 2, le cas échéant (qui inclut des professions avec 2 comme deuxième chiffre dans leur code).",2,1,2,
22,"Technical occupations related to natural and applied sciences","This major group comprises technical occupations related to natural sciences; technical occupations related to applied sciences and engineering. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 2. Occupations classified in TEER 2, as those included in this group with a 2 as the second digit of their code, typically require completion of a post-secondary education program of two to three years at community college, institute of technology or CÉGEP; or completion of an apprenticeship training program of two to five years; or supervisory or significant safety responsibilities; or the accumulation of several years of experience in a related occupation found in TEER 3, when applicable (TEER 3 includes occupations with a 3 as a second digit in their code).","Personnel technique assimilé aux sciences naturelles et appliquées","Ce grand groupe comprend le personnel technique assimilé aux sciences naturelles; le personnel technique assimilé aux sciences appliquées et à l'ingénierie. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiées comme FEER 2. Les professions du FEER 2, comme celles incluses dans ce grand groupe avec 2 comme deuxième chiffre dans leur code, exigent généralement l'achèvement d'un programme d'études postsecondaires de deux à trois ans dans un collège communautaire, un institut de technologie ou un cégep; ou l'achèvement d'un programme de formation en apprentissage de deux à cinq ans; ou des responsabilités de supervision ou des responsabilités importantes en matières de sécurité; ou l'accumulation de plusieurs années d'expérience dans une profession connexe trouvée dans FEER 3, le cas échéant (FEER 3 inclut des professions avec 3 comme deuxième chiffre dans leur code).",2,2,2,
70,"Middle management occupations in trades and transportation","This major group comprises middle management occupations in trades and transportation. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 0. The occupations classified under TEER 0, as those included in this group with zero (0) as the second digit of their code, are considered management occupations.","Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique","Ce grand groupe comprend les cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion.",2,0,7,
20,"Specialized middle management occupations in engineering, architecture, science and information systems","This major group comprises specialized middle management occupations in engineering, architecture, science and information systems. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 0. The occupations classified under TEER 0, as those included in this group with zero (0) as the second digit of their code, are considered management occupations.","Cadres intermédiaires spécialisés / cadres intermédiaires spécialisées en génie, en architecture, en sciences et en systèmes informatiques","Ce grand groupe comprend les cadres intermédiaires spécialisés/cadres intermédiaires spécialisées en génie, en architecture, en sciences et en systèmes informatiques. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion.",2,0,2,02
30,"Specialized middle management occupations in health care","This major group comprises specialized middle management occupations in health care. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 0. The occupations classified under TEER 0, as those included in this group with zero (0) as the second digit of their code, are considered management occupations.","Cadres intermédiaires spécialisés / cadres intermédiaires spécialisées des soins de santé","Ce grand groupe comprend les cadres intermédiaires spécialisés/cadres intermédiaires spécialisées des soins de santé. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion.",2,0,3,03
40,"Managers in public administration, in education and social and community services and in public protection services","This major group comprises managers in public administration, in education and social and community services and in public protection services. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 0. The occupations classified under TEER 0, as those included in this group with zero (0) as the second digit of their code, are considered management occupations.","Directeurs / directrices de la fonction publique, de l'enseignement et des services sociaux et communautaires et des services de la protection du public","Ce grand groupe comprend les directeurs/directrices de la fonction publique, de l'enseignement et des services sociaux et communautaires et des services de la protection du public. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 0. Les professions du FEER 0, comme celles incluses dans ce grand groupe avec zéro (0) comme deuxième chiffre dans leur code, sont considérées comme des professions de gestion.",2,0,4,04
41,"Professional occupations in law, education, social, community and government services","This major group comprises professional occupations in law, education, social, community and government services. These occupations come with Training, Education, Experience and Responsibility (TEER) identified as TEER 1. Occupations classified in TEER 1, as those in this group with a 1 as the second digit of their code, typically require a university degree (bachelor's, master's or doctorate) or the accumulation several years of experience and expertise in the subject matter knowledge in a related occupation found in TEER 2, when applicable (which includes occupations with a 2 as a second digit in their code).","Personnel professionnel du droit, d'enseignement, des services gouvernementaux, sociaux et communautaires","Ce grand groupe comprend le personnel professionnel du droit, d'enseignement, des services gouvernementaux, sociaux et communautaires. Ces professions viennent avec la Formation, études, expérience et responsabilités (FEER) identifiée comme FEER 1. Les professions du FEER 1, comme celles incluses dans ce grand groupe avec 1 comme deuxième chiffre dans leur code, exigent généralement un diplôme universitaire (baccalauréat, maîtrise ou doctorat) ou l'accumulation de plusieurs années d'expérience et d'expertise dans la connaissance du sujet matière dans une profession connexe trouvée dans FEER 2, le cas échéant (qui inclut des professions avec 2 comme deuxième chiffre dans leur code).",2,1,4,
