"NOC_ID","NOCCode","NameEnglish","NameFrench","EnglishShortAlias","NOCS2006","NOCGroupTypeID","ParentNOC_ID","NOCYear","NOC_ID2006","TradesOutlookNOC","SkillLevel"
1,"0",Management occupations,Gestion,,,1,,2006,,,
2,"00",Senior Management Occupations,Cadres supérieurs/cadres supérieures,,,2,1,2006,,,
3,"001",Legislators and Senior Management,Membres des corps législatifs et cadres supérieurs/cadres supérieures,,A01,3,2,2006,,,
4,"0011",Legislators,Membres des corps législatifs,,A011,4,3,2006,,,
5,"0012",Senior government managers and officials,Cadres supérieurs/cadres supérieures - administration publique,,A012,4,3,2006,,,
6,"0013","Senior managers - financial, communications and other business services","Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises",,A013,4,3,2006,,,
7,"0014","Senior managers - health, education, social and community services and membership organizations","Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles",,A014,4,3,2006,,,
8,"0015","Senior managers - trade, broadcasting and other services, n.e.c.","Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services, n.c.a.",,A015,4,3,2006,,,
9,"0016","Senior managers - construction, transportation, production and utilities","Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique",,A016,4,3,2006,,,
10,"01",Middle and Other Management Occupations,Cadres intermédiaires et autre personnel de gestion,,,2,1,2006,,,
11,"011",Administrative Services Managers,Directeurs/directrices des services administratifs,,A11,3,10,2006,,,
12,"0111",Financial managers,Directeurs financiers/directrices financières,,A111,4,11,2006,,,
13,"0112",Human resources managers,Directeurs/directrices des ressources humaines,,A112,4,11,2006,,,
14,"0113",Purchasing managers,Directeurs/directrices des achats,,A113,4,11,2006,,,
15,"0114",Other administrative services managers,Directeurs/directrices d'autres services administratifs,,A114,4,11,2006,,,
16,"012",Managers in Financial and Business Services,Directeurs/directrices des services financiers et des services aux entreprises,,A30,3,10,2006,,,
17,"0121","Insurance, real estate and financial brokerage managers","Directeurs/directrices des assurances, de l'immobilier et du courtage financier",,A301,4,16,2006,,,
18,"0122","Banking, credit and other investment managers","Directeurs/directrices de banque, du crédit et d'autres services de placements",,A302,4,16,2006,,,
19,"0123",Other Business Services Managers,Directeurs/directrices d'autres services aux entreprises,,A303,4,16,2006,,,
20,"013",Managers in Communication (Except Broadcasting),Directeurs/directrices des services de communications (sauf la radiotélédiffusion),,A31,3,10,2006,,,
21,"0131",Telecommunication carriers managers,Directeurs/directrices d'entreprises de télécommunications,,A311,4,20,2006,,,
22,"0132",Postal and courier services managers,Directeurs/directrices des services postaux et de messageries,,A312,4,20,2006,,,
23,"02",Middle and Other Management Occupations,Cadres intermédiaires et autre personnel de gestion,,,2,1,2006,,,
24,"021","Managers in Engineering, Architecture, Science and Information Systems","Directeurs/directrices des services de génie, d'architecture, de sciences naturelles et des systèmes informatiques",,A12,3,23,2006,,,
25,"0211",Engineering managers,Directeurs/directrices des services de génie,,A121,4,24,2006,,,
26,"0212",Architecture and science managers,Directeurs/directrices des services d'architecture et de sciences,,A123,4,24,2006,,,
27,"0213",Computer and information systems managers,Gestionnaires des systèmes informatiques,,A122,4,24,2006,,,
28,"03",Middle and Other Management Occupations,Cadres intermédiaires et autre personnel de gestion,,,2,1,2006,,,
29,"031","Managers in Health, Education, Social and Community Services","Directeurs/directrices des secteurs de la santé, de l'enseignement et des services communautaires et sociaux",,A32,3,28,2006,,,
30,"0311",Managers in health care,Directeurs/directrices des soins de santé,,A321,4,29,2006,,,
31,"0312",Administrators - Post-Secondary Education and Vocational Training,Administrateurs/administratrices - enseignement postsecondaire et formation professionnelle,,A322,4,29,2006,,,
32,"0313",School Principals and Administrators of Elementary and Secondary Education,Directeurs/directrices d'école et administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire,,A323,4,29,2006,,,
33,"0314","Managers in Social, Community and Correctional Services","Directeurs/directrices des services sociaux, communautaires et correctionnels",,A324,4,29,2006,,,
34,"04",Middle and Other Management Occupations,Cadres intermédiaires et autre personnel de gestion,,,2,1,2006,,,
35,"041",Managers in Public Administration,Directeurs/directrices de la fonction publique,,A33,3,34,2006,,,
36,"0411",Government managers - health and social policy development and program administration,Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé,,A331,4,35,2006,,,
37,"0412","Government managers - economic analysis, policy development and program administration","Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes",,A332,4,35,2006,,,
38,"0413",Government managers - education policy development and program administration,Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes,,A333,4,35,2006,,,
39,"0414",Other managers in public administration,Autres gestionnaires de la fonction publique,,A334,4,35,2006,,,
40,"05",Middle and Other Management Occupations,Cadres intermédiaires et autre personnel de gestion,,,2,1,2006,,,
41,"051","Managers in Art, Culture, Recreation and Sport","Directeurs/directrices des arts, de la culture, des sports et des loisirs",,A34,3,40,2006,,,
42,"0511","Library, archive, museum and art gallery managers","Directeurs/directrices de bibliothèques, des archives, de musées et de galeries d'art",,A341,4,41,2006,,,
43,"0512","Managers - publishing, motion pictures, broadcasting and performing arts","Directeurs/directrices - édition, cinéma, radiotélédiffusion et arts de la scène",,A342,4,41,2006,,,
44,"0513","Recreation, sports and fitness program and service directors","Directeurs/directrices de programmes et de services de sports, de loisirs et de conditionnement physique",,A343,4,41,2006,,,
45,"06",Middle and Other Management Occupations,Cadres intermédiaires et autre personnel de gestion,,,2,1,2006,,,
46,"061","Sales, Marketing and Advertising Managers","Directeurs/directrices des ventes, du marketing et de la publicité",,A13,3,45,2006,,,
47,"0611","Sales, Marketing and Advertising Managers","Directeurs/directrices des ventes, du marketing et de la publicité",,A131,4,46,2006,,,
