Niveau,Structure hiérarchique,Code dela CNP 2021 v1.0,Titres de classes,Définitions de la classe
1,Grande catégorie,0,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Cette grande catégorie comprend les membres de corps législatifs et les cadres supérieurs.
2,Grand groupe,00,Membres des corps législatifs et cadres supérieurs/cadres supérieures,"Ce grand groupe comprend les cadres supérieurs, y compris les membres des corps législatifs et les cadres supérieurs des secteurs public et privé."
3,Sous-grand groupe,000,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Ce sous-grand groupe comprend les membres des corps législatifs et les cadres supérieurs des secteurs public et privé.
4,Sous-groupe,0001,Membres des corps législatifs et cadres supérieurs/cadres supérieures,"Ce sous-groupe comprend les membres des corps législatifs et les cadres supérieurs des secteurs public et privé. Ils/elles travaillent pour des corps législatifs de l'administration fédérale et des administrations provinciales, territoriales et municipales, des conseils exécutifs, des conseils de bande et des conseils scolaires; des administrations municipales, régionales et ministérielles, des conseils, commissions et organismes provinciaux, territoriaux et fédéraux; et dans l'ensemble du secteur privé."
5,Groupe de base,00010,Membres des corps législatifs,"Les membres des corps législatifs participent aux activités d'un corps législatif ou d'un conseil exécutif du gouvernement fédéral, provincial, territorial ou local, d'un conseil de bande ou d'un conseil scolaire, à titre d'élus ou de représentants nommés."
5,Groupe de base,00011,Cadres supérieurs/cadres supérieures - administration publique,"Les cadres supérieurs de l'administration publique planifient, organisent, dirigent, contrôlent et évaluent, par l'entremise de cadres intermédiaires, les activités des administrations régionales ou municipales ainsi que les activités des ministères, des conseils, des agences ou des commissions des administrations fédérales, provinciales et territoriales. Ils établissent la direction à suivre selon les législations et les politiques formulées par les représentants élus ou les membres des corps législatifs."
5,Groupe de base,00012,"Cadres supérieurs/cadres supérieures - services financiers, communications et autres services aux entreprises","Les cadres supérieurs des secteurs des services financiers, des communications et des services aux entreprises sont mandatés généralement par un conseil d'administration dont ils relèvent. Ils définissent, seuls ou conjointement avec le conseil d'administration, les objectifs de l'entreprise et élaborent ou approuvent ses politiques et ses programmes. Ils planifient, organisent, dirigent, contrôlent et évaluent, par l'intermédiaire des cadres intermédiaires, les activités de l'organisme en fonction des objectifs établis. Ils travaillent dans des établissements à travers les secteurs des télécommunications, des finances, des assurances, de l'immobilier, et du traitement des données, d'hébergement Web et les services connexes ainsi que d'autres industries de services aux entreprises ou ils peuvent être gérants et propriétaires de leur propre organisation."
5,Groupe de base,00013,"Cadres supérieurs/cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles","Les cadres supérieurs en santé, enseignement, services sociaux et communautaires et associations mutuelles planifient, organisent, dirigent, contrôlent et évaluent, par l'entremise de cadres intermédiaires, les organisations, les associations mutuelles ou autres établissements qui offrent des services sociaux, communautaires, de santé ou d'enseignement. Ils formulent, seuls ou conjointement avec un conseil d'administration, les politiques d'orientation de ces organisations. Ils travaillent dans des organisations de soins de santé, de services éducatifs, de services sociaux et communautaires et des associations mutuelles ou ils peuvent être gérants et propriétaires de leur propre organisation."
5,Groupe de base,00014,"Cadres supérieurs/cadres supérieures - commerce, radiotélédiffusion et autres services","Les cadres supérieurs de commerce, radiotélédiffusion et autres services à la clientèle planifient, organisent, dirigent, contrôlent et évaluent, par l'entremise de cadres intermédiaires, les compagnies des secteurs du commerce, de la radiotélédiffusion et d'autres industries des services. Ils formulent les politiques qui établissent la direction à suivre par ces compagnies, seuls ou conjointement avec un conseil d'administration. Ils travaillent dans des établissements en matière de radiodiffusion et les services connexes des médias, le commerce de gros, le commerce de détail, l'hébergement et le service alimentaire, et d'autres services ou ils peuvent être gérants et propriétaires de leur propre organisation."
5,Groupe de base,00015,"Cadres supérieurs/cadres supérieures - construction, transport, production et services d'utilité publique","Les cadres supérieurs en construction, transport, production et en services d'utilité publique planifient, organisent, dirigent, contrôlent et évaluent, par l'entremise de cadres intermédiaires, l'ensemble des opérations des compagnies des secteurs de la production des biens, des services d'utilité publique, du transport et de la construction. Ils formulent, seuls ou conjointement avec un conseil d'administration, les politiques d'orientation de ces compagnies. Ils travaillent dans des établissements à travers les secteurs suivants: la pêche, la foresterie, l'exploitation forestière et agricole, l'exploitation minière, pétrolière et gazière, la construction, le transport et l'entreposage, l'impression, la fabrication et les services d'utilité publique ou ils peuvent être gérants et propriétaires de leur propre organisation."
