CNP 2016 Code (2 chiffres),CNP 2016 Étiquette,CNP 2016 Niveau de compétence,CNP 2021 Code (2 chiffres),CNP 2021 Étiquette,CNP 2021 FÉER,Description
0,Début de la suppression. Cadres supérieurs / cadres supérieures Fin de la suppression.,Gestion / A,0,Membres des corps législatifs et cadres supérieurs / cadres supérieures,0,Tous les groupes de base de cadres intermédiaires ont été relocalisés dans leur grande catégorie professionnelle respective.
1,Début de la suppression. Cadres intermédiaires spécialisés / cadres intermédiaires spécialisées Fin de la suppression.,Gestion / A,10,"Cadres intermédiaires spécialisés / spécialisées des services administratifs, services financiers et des services aux entreprises et services de communications (sauf la radiotélédiffusion)",0,"Tous les groupes de base, à l'exception du groupe base 0132, ont été relocalisés dans le grand groupe 10."
,Début de la suppression. Fin de la suppression.,,11,Personnel professionnel en finance et en gestion des affaires,1,"L'appellation d'emploi ""coordonnateur / coordonnatrice de la formation du personnel"" a été déplacée dans le grand groupe 11."
,Début de la suppression. Fin de la suppression.,,13,Personnel administratif et personnel de la logistique du transport,3,"L'appellation d'emploi ""administrateur / administratrice des ressources humaines"" a été déplacée dans le grand groupe 13."
,Début de la suppression. Fin de la suppression.,,21,Personnel professionnel des sciences naturelles et appliquées,1,Les appellations d'emploi liées aux coordonnateurs de la santé et sécurité publique et environnementale ont été déplacées dans le grand groupe 21.
,Début de la suppression. Fin de la suppression.,,22,Personnel technique assimilé aux sciences naturelles et appliquées,2,Les appellations d'emploi liées aux spécialistes de l'hygiène et de la sécurité au travail ont été déplacées dans le grand groupe 22.
,Début de la suppression. Fin de la suppression.,,70,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",0,Le groupe de base 0132 a été relocalisé dans le grand groupe 70.
2,Début de la suppression. Cadres intermédiaires spécialisés / cadres intermédiaires spécialisées Fin de la suppression.,Gestion / A,20,"Cadres intermédiaires spécialisés / cadres intermédiaires spécialisées en génie, en architecture, en sciences et en systèmes informatiques",0,Tous les groupes de base ont été relocalisés dans le grand groupe 20.
3,Début de la suppression. Cadres intermédiaires spécialisés / cadres intermédiaires spécialisées Fin de la suppression.,Gestion / A,30,Cadres intermédiaires spécialisés / cadres intermédiaires spécialisées des soins de santé,0,Le groupe de base a été relocalisé sous le grand groupe 30.
4,Début de la suppression. Cadres intermédiaires spécialisés / cadres intermédiaires spécialisées Fin de la suppression.,Gestion / A,40,"Directeurs / directrices de la fonction publique, de l'enseignement et des services sociaux et communautaires et des services de la protection du public",0,Tous les groupes de base ont été relocalisés dans le grand groupe 40.
,Début de la suppression. Fin de la suppression.,,41,"Personnel professionnel du droit, d'enseignement, des services gouvernementaux, sociaux et communautaires",1,Les appellations d'emploi liées aux enquêteurs de police ont été déplacées dans le grand groupe 41.
5,Début de la suppression. Cadres intermédiaires spécialisés / cadres intermédiaires spécialisées Fin de la suppression.,Gestion / A,50,"Cadres intermédiaires spécialisés / cadres intermédiaires spécialisées des arts, de la culture, des sports et des loisirs",0,Tous les groupes de base ont été relocalisés dans le grand groupe 50.
6,"Début de la suppression. Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle Fin de la suppression.",Gestion / A,60,"Cadres intermédiaires dans le commerce de détail, de gros et des services à la clientèle",0,Tous les groupes de base ont été relocalisés dans le grand groupe 60.
7,"Début de la suppression. Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique Fin de la suppression.",Gestion / A,70,"Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique",0,Tous les groupes de base ont été relocalisés dans le grand groupe 70.
8,"Début de la suppression. Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique Fin de la suppression.",Gestion / A,80,Cadres intermédiaires de la production et de l'agriculture,0,Tous les groupes de base ont été relocalisés dans le grand groupe 80.
9,"Début de la suppression. Cadres intermédiaires des métiers, des transports, de la production et des services d'utilité publique Fin de la suppression.",Gestion / A,90,Cadres intermédiaires de la fabrication et des services d'utilité publique,0,Tous les groupes de base ont été relocalisés dans le grand groupe 90.
11,Début de la suppression. Personnel professionnel en gestion des affaires et en finance Fin de la suppression.,A,10,"Cadres intermédiaires spécialisés / spécialisées des services administratifs, services financiers et des services aux entreprises et services de communications (sauf la radiotélédiffusion)",0,"L'appellation d'emploi ""Gestionnaire de communauté - médias sociaux"" a été remplacée par ""gestionnaire des médias sociaux"" et a été déplacée dans le grand groupe 10."
,Début de la suppression. Fin de la suppression.,,11,Personnel professionnel en finance et en gestion des affaires,1,Tous les groupes de base ont été relocalisés dans le grand groupe 11. L'étiquette de ce grand groupe a été modifiée.
