NOC 2006 Code,NOC 2006 Label,NOC 2011 Code,NOC 2011 Label,Description
11,Legislators,11,Legislators,Except territorial commissioners
11,Legislators,12,Senior government managers and officials,Territorial commissioners moved to 0012
12,Senior Government Managers and Officials,12,Senior government managers and officials,Includes territorial commissioners from 0011
14,"Senior Managers - Health, Education, Social and Community Services and Membership Organizations",14,"Senior managers - health, education, social and community services and membership organizations",Includes automobile association executive directors and hockey association general managers from 0015
15,"Senior Managers - Trade, Broadcasting and Other Services, n.e.c.",14,"Senior managers - health, education, social and community services and membership organizations",Automobile association executive directors and hockey association general managers moved to 0014
15,"Senior Managers - Trade, Broadcasting and Other Services, n.e.c.",15,"Senior managers - trade, broadcasting and other services, n.e.c.",Except automobile association executive directors and hockey association general managers
16,"Senior Managers - Goods Production, Utilities, Transportation and Construction",16,"Senior managers - construction, transportation, production and utilities",Modified label
123,Other Business Services Managers,124,"Advertising, marketing and public relations managers","New code - includes advertising agency managers from former 0123. Also includes advertising, marketing and public relations managers from former 0611."
123,Other Business Services Managers,125,Other business services managers,New code - except advertising agency managers
312,Administrators - Post-Secondary Education and Vocational Training,421,Administrators - post-secondary education and vocational training,New code
313,School Principals and Administrators of Elementary and Secondary Education,422,School principals and administrators of elementary and secondary education,New code
314,"Managers in Social, Community and Correctional Services",423,"Managers in social, community and correctional services",New code
,,421,Administrators - post-secondary education and vocational training,New code - former 0312
,,422,School principals and administrators of elementary and secondary education,New code - former 0313
,,423,"Managers in social, community and correctional services",New code - former 0314
,,431,Commissioned police officers,New code - former 0641
,,432,Fire chiefs and senior firefighting officers,New code - former 0642
,,433,Commissioned officers of the Canadian Forces,New code - former 0643
,,601,Corporate sales managers,New code - includes corporate sales managers from former 0611
611,"Sales, Marketing and Advertising Managers",124,"Advertising, marketing and public relations managers","Advertising, marketing and public relations managers moved to new code 0124"
611,"Sales, Marketing and Advertising Managers",601,Corporate sales managers,Corporate sales managers moved to new code 0601
611,"Sales, Marketing and Advertising Managers",621,Retail and wholesale trade managers,Wholesale trade managers moved to 0621
611,"Sales, Marketing and Advertising Managers",1123,"Professional occupations in advertising, marketing and public relations",Advertising account managers moved to new code 1123
621,Retail Trade Managers,124,"Advertising, marketing and public relations managers",Advertising and marketing managers in retail trade moved to new code 0124
621,Retail Trade Managers,601,Corporate sales managers,Corporate sales managers in retail trade moved to new code 0601
621,Retail Trade Managers,621,Retail and wholesale trade managers,"Modified label - includes wholesale trade managers from former 0611 and certain food store section managers, e.g. meat managers and deli managers in food stores from 6211."
641,Commissioned Police Officers,431,Commissioned police officers,New code – former 0641
642,Fire Chiefs and Senior Firefighting Officers,432,Fire chiefs and senior firefighting officers,New code – former 0642
643,"Commissioned Officers, Armed Forces",433,Commissioned officers of the Canadian Forces,New code and modified label - former 0643
651,Other Services Managers,651,"Managers in customer and personal services, n.e.c.",Modified label
712,Residential Home Builders and Renovators,712,Home building and renovation managers,Modified label
713,Transportation Managers,731,Managers in transportation,New code and modified label - includes distribution and warehousing managers from former 0721
721,Facility Operation and Maintenance Managers,714,Facility operation and maintenance managers,New code - except distribution and warehousing managers
721,Facility Operation and Maintenance Managers,731,Managers in transportation,Distribution and warehousing managers moved to new code 0731
811,Primary Production Managers (Except Agriculture),811,Managers in natural resources production and fishing,Modified label
,,821,Managers in agriculture,New code and modified label - relocated from former 8251
,,822,Managers in horticulture,New code and modified label - relocated from former 8254
,,823,Managers in aquaculture,New code and modified label - relocated from former 8257
1121,Specialists in Human Resources,1121,Human resources professionals,Modified label
1122,Professional Occupations in Business Services to Management,1122,Professional occupations in business management consulting,Modified label - except advertising and marketing professionals
1122,Professional Occupations in Business Services to Management,1123,"Professional occupations in advertising, marketing and public relations","New code - includes advertising and marketing professionals from 1122. Also includes advertising account managers from former 0611, marketing consultants – advertising from 4163, and former unit group 5124."
1211,"Supervisors, General Office and Administrative Support Clerks",1211,"Supervisors, general office and administrative support workers",Modified label - except regulatory clerks supervisors and medical records supervisors
1211,"Supervisors, General Office and Administrative Support Clerks",1213,"Supervisors, library, correspondence and related information workers",Regulatory clerks supervisors moved to 1213
1211,"Supervisors, General Office and Administrative Support Clerks",1252,Health information management occupations,Medical records supervisors moved to new code 1252
1212,"Supervisors, Finance and Insurance Clerks",1212,"Supervisors, finance and insurance office workers",Modified label - except customer service representatives supervisors - financial services
1212,"Supervisors, Finance and Insurance Clerks",6314,Customer and information services supervisors,Customer service representatives supervisors - financial services moved to new code 6314
1213,"Supervisors, Library, Correspondence and Related Information Clerks",1213,"Supervisors, library, correspondence and related information workers",Modified label - except customer service representatives supervisors (except financial services). Includes regulatory clerks supervisors from 1211.
1213,"Supervisors, Library, Correspondence and Related Information Clerks",6314,Customer and information services supervisors,Customer service representatives supervisors (except financial services) moved to new code 6314
1215,"Supervisors, Recording, Distributing and Scheduling Occupations",1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",Modified label
1223,Personnel and Recruitment Officers,1223,Human resources and recruitment officers,Modified label
1228,"Immigration, Employment Insurance and Revenue Officers",1228,"Employment insurance, immigration, border services and revenue officers",Modified label
,,1251,"Court reporters, medical transcriptionists and related occupations",New code and modified label - former 1244
,,1252,Health information management occupations,New code - includes medical records supervisors from 1211 and medical records technicians from former 1413
,,1253,Records management technicians,New code - includes records management from former 1413
,,1254,Statistical officers and related research support occupations,New code - includes statistical officers and technicians from 2161 and social science research assistants (except university) from 4164
