CNP 2016 Code (3 chiffres),CNP 2016 Étiquette,CNP 2016 Niveau de compétence,CNP 2021 Code (4 chiffres),CNP 2021 Étiquette,CNP 2021 FÉER,Description
1,Membres des corps législatifs et cadres supérieurs / cadres supérieures,Gestion / A,1,Membres des corps législatifs et cadres supérieurs / cadres supérieures,0,s.o.
11,Directeurs / directrices des services administratifs,Gestion / A,1001,Directeurs / directrices des services administratifs,0,"Les groupes de base 0111 (maintenant 10010), 0112 (maintenant 10011), 0113 (maintenant 10012) et 0114 (maintenant 10019) ont été déplacés du sous-groupe 011 au sous-groupe 1001."
,,,1120,Professionnels / professionnelles en gestion des ressources humaines et en services aux entreprises,1,"L'appellation d'emploi ""coordonnateur / coordonnatrice de la formation du personnel"" a été déplacée du sous-groupe 011 au sous-groupe 1120."
,,,1311,"Adjoints administratifs / adjointes administratives de bureau - général, juridique et médical",3,"L'appellation d'emploi ""administrateur / administratrice des ressources humaines"" a été déplacée du sous-groupe 011 au sous-groupe 1311."
,,,2112,Professionnels / professionnelles de la santé et sécurité publique et environnementale,1,Les appellations d'emploi liées aux coordonnateurs de la santé et sécurité publique et environnementale ont été déplacés du sous-groupe 011 au sous-groupe 2112.
,,,2223,Contrôleurs / contrôleuses techniques et officiers / officières de réglementation,2,Les appellations d'emploi liées aux spécialistes de l'hygiène et de la sécurité au travail ont été déplacés du sous-groupe 011 au sous-groupe 2223.
12,Directeurs / directrices des services financiers et des services aux entreprises,Gestion / A,1002,Directeurs / directrices des services financiers et des services aux entreprises,0,s.o.
13,Directeurs / directrices des services de communications (sauf la radiotélédiffusion),Gestion / A,1003,Directeurs / directrices des services de communications (sauf la radiotélédiffusion),0,Le sous-groupe 013 a été divisé. Le groupe de base 0131 (maintenant 10030) a été déplacé du sous-groupe 013 au sous-groupe 1003.
,,,7002,Directeurs / directrices des transports et des services postaux et de messageries,0,Le sous-groupe 013 a été divisé. Le groupe de base 0132 (maintenant 70021) a été déplacé du sous-groupe 013 au sous-groupe 7002.
21,"Directeurs / directrices des services de génie, d'architecture, de sciences et des systèmes informatiques",Gestion / A,2001,"Directeurs / directrices des services de génie, d'architecture, de sciences et des systèmes informatiques",0,s.o.
31,Directeurs / directrices des soins de santé,Gestion / A,3001,Directeurs / directrices des soins de santé,0,s.o.
41,Directeurs / directrices de la fonction publique,Gestion / A,4001,Directeurs / directrices de la fonction publique,0,s.o.
42,Directeurs / directrices de l'enseignement et des services sociaux et communautaires,Gestion / A,4002,Directeurs / directrices de l'enseignement,0,Le sous-groupe 042 a été divisé. Les groupes de base 0421 (maintenant 40020) et 0422 (maintenant 40021) ont été déplacés du sous-groupe 042 au sous-groupe 4002.
,,,4003,"Directeurs / directrices des services sociaux, communautaires et correctionnels",0,Le sous-groupe 042 a été divisé. Le groupe de base 0423 (maintenant 40030) a été déplacé du sous-groupe 042 au sous-groupe 4003.
43,Directeurs / directrices des services de la protection du public,Gestion / A,4004,Directeurs / directrices des services de la protection du public,0,"Les groupes de base 0431 (maintenant 40040), 0432 (maintenant 40041) and 0433 (maintenant 40042) ont été déplacés du sous-groupe 043 au sous-groupe 4004."
,,,4131,Enquêteurs / enquêteuses de police et agents / agentes de probation,,Les appellations d'emploi liées aux enquêteurs de police ont été déplacés du sous-groupe 043 au sous-groupe 4131.
51,"Directeurs / directrices des arts, de la culture, des sports et des loisirs",Gestion / A,5001,"Directeurs / directrices des arts, de la culture, des sports et des loisirs",0,s.o.
60,Directeurs / directrices des ventes corporatives,Gestion / A,6001,Directeurs / directrices des ventes corporatives,0,s.o.
62,Directeurs / directrices - commerce de détail et de gros,Gestion / A,6002,Directeurs / directrices - commerce de détail et de gros,0,s.o.
63,Directeurs / directrices de la restauration et des services d'hébergement,Gestion / A,6003,Directeurs / directrices de la restauration et des services d'hébergement,0,s.o.
65,"Directeurs / directrices du service à la clientèle et des services personnels, n.c.a.",Gestion / A,6004,Directeurs / directrices du service à la clientèle et des services personnels,0,Étiquette modifiée.
71,"Directeurs / directrices de la construction, de l'exploitation et de l'entretien d'immeubles",Gestion / A,7001,"Directeurs / directrices de la construction, de l'exploitation et de l'entretien d'immeubles",0,s.o.
73,Directeurs / directrices des transports,Gestion / A,7002,Directeurs / directrices des transports et des services postaux et de messageries,0,Étiquette modifiée.
81,Directeurs / directrices de l'exploitation des ressources naturelles et de la pêche,Gestion / A,8001,Directeurs / directrices de l'exploitation des ressources naturelles et de la pêche,0,s.o.
82,"Gestionnaires en agriculture, horticulture et en aquaculture",Gestion / A,8002,"Gestionnaires en agriculture, horticulture et en aquaculture",0,s.o.
91,Directeurs / directrices de la fabrication et des services d'utilité publique,Gestion / A,9001,Directeurs / directrices de la fabrication et des services d'utilité publique,0,s.o.
111,"Professionnels / professionnelles en finance, en vérification et en comptabilité",A,1110,"Professionnels / professionnelles en finance, en vérification et en comptabilité",1,s.o.
112,Professionnels / professionnelles en gestion des ressources humaines et en services aux entreprises,A,1002,Directeurs / directrices des services financiers et des services aux entreprises,0,"L'appellation d'emploi ""gestionnaire de communauté - médias sociaux"" a été remplacée par ""gestionnaire des médias sociaux"" et a été déplacée du sous-groupe 112 au sous-groupe 1002."
,,,1120,Professionnels / professionnelles en gestion des ressources humaines et en services aux entreprises,1,"Les groupes de base 1121 (maintenant 11200), 1122 (maintenant 11201) et 1123 (maintenant 11202) ont été déplacés du sous-groupe 112 au sous-groupe 1120."
,,,6440,Représentants / représentantes aux services à la clientèle et services d'information,4,"Les appellations d'emploi ""agent / agente d'information touristique"" et ""technicien / technicienne en tourisme"" ont été déplacés du sous-groupe 112 au sous-groupe 6440."
