CNP 2016 Code (1 chiffre),CNP 2016 Étiquette,CNP 2016 Code (1 chiffre),CNP 2016 Étiquette,Description
0,Début de la suppression. Gestion Fin de la suppression.,0,Membres des corps législatifs et cadres supérieurs/cadres supérieures,Tous les groupes de base des cadres intermédiaires ont été relocalisés dans leur grande catégorie professionnelle respective.
1,"Affaires, finance et administration",1,"Affaires, finance et administration",N/A
2,Sciences naturelles et appliquées et domaines apparentés,2,Sciences naturelles et appliquées et domaines apparentés,N/A
3,Secteur de la santé,3,Secteur de la santé,N/A
4,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",4,"Enseignement, droit et services sociaux, communautaires et gouvernementaux",N/A
5,"Arts, culture, sports et loisirs",5,"Arts, culture, sports et loisirs",N/A
6,Vente et services,6,Vente et services,N/A
7,"Métiers, transport, machinerie et domaines apparentés",7,"Métiers, transport, machinerie et domaines apparentés",N/A
8,"Ressources naturelles, agriculture et production connexe",8,"Ressources naturelles, agriculture et production connexe",N/A
9,Fabrication et services d'utilité publique,9,Fabrication et services d'utilité publique,N/A
