NOC 2016 Code (3-digit),NOC 2016 Label,NOC 2016 Skill level,NOC 2021 Code (4-digit),NOC 2021 Label,NOC 2021 TEER,Description
1,Legislators and senior management,Management / A,1,Legislators and senior management,0,N/A
11,Administrative services managers,Management / A,1001,Administrative services managers,0,"Unit groups 0111 (now 10010), 0112 (now 10011), 0113 (now 10012) and 0114 (now 10019) moved from minor group 011 to 1001."
,,,1120,Human resources and business service professionals,1,"Job title ""Staff training coordinator"" moved from minor group 011 to 1120."
,,,1311,"Office administrative assistants - general, legal and medical",3,"Job title ""Human resources administrator"" moved from minor group 011 to 1311."
,,,2112,Public and environmental health and safety professionals,1,Job titles related to public and environmental health and safety coordinators moved from minor group 011 to 2112.
,,,2223,Technical inspectors and regulatory officers,2,Job titles related to occupational health and safety specialists moved from minor group 2223.
12,Managers in financial and business services,Management / A,1002,Managers in financial and business services,0,N/A
13,Managers in communication (except broadcasting),Management / A,1003,Managers in communication (except broadcasting),0,Minor group 013 was split. Unit group 0131 (now 10030) moved from minor group 013 to 1003.
,,,7002,Managers in transportation and postal courier services,0,Minor group 013 was split. Unit group 0132 (now 70021) moved from minor group 013 to 7002.
21,"Managers in engineering, architecture, science and information systems",Management / A,2001,"Managers in engineering, architecture, science and information systems",0,N/A
31,Managers in health care,Management / A,3001,Managers in health care,0,N/A
41,Managers in public administration,Management / A,4001,Managers in public administration,0,N/A
42,Managers in education and social and community services,Management / A,4002,Managers in education,0,Minor group 042 was split. Unit groups 0421 (now 40020) and 0422 (now 40021) moved from minor group 042 to 4002.
,,,4003,"Managers in social, community and correctional services",0,Minor group 042 was split. Unit group 0423 (now 40030) moved from minor group 042 to 4003.
43,Managers in public protection services,Management / A,4004,Managers in public protection services,0,"Unit groups 0431 (now 40040), 0432 (now 40041) and 0433 (now 40042) moved from minor group 043 to 4004."
,,,4131,Police investigators and probation officers,1,Job titles related to police investigator moved from minor group 043 to 4131.
51,"Managers in art, culture, recreation and sport",Management / A,5001,"Managers in art, culture, recreation and sport",0,N/A
60,Corporate sales managers,Management / A,6001,Corporate sales managers,0,N/A
62,Retail and wholesale trade managers,Management / A,6002,Retail and wholesale trade managers,0,N/A
63,Managers in food service and accommodation,Management / A,6003,Managers in food service and accommodation,0,N/A
65,"Managers in customer and personal services, n.e.c",Management / A,6004,Managers in customer and personal services,0,Label modified.
71,Managers in construction and facility operation and maintenance,Management / A,7001,Managers in construction and facility operation and maintenance,0,N/A
73,Managers in transportation,Management / A,7002,Managers in transportation and postal courier services,0,Label modified.
81,Managers in natural resources production and fishing,Management / A,8001,Managers in natural resources production and fishing,0,N/A
82,"Managers in agriculture, horticulture and aquaculture",Management / A,8002,"Managers in agriculture, horticulture and aquaculture",0,N/A
91,Managers in manufacturing and utilities,Management / A,9001,Managers in manufacturing and utilities,0,N/A
111,"Auditors, accountants and investment professionals",A,1110,"Auditors, accountants and investment professionals",1,N/A
112,Human resources and business service professionals,A,1002,Managers in financial and business services,0,"Job title ""social media community manager"" updated to ""social media manager"" moved from minor group 112 to 1002."
,,,1120,Human resources and business service professionals,1,"Unit groups 1121 (now 11200), 1122 (now 11201) and 1123 (now 11202) moved from minor group 112 to 1120."
,,,6440,Customer and information services representatives,4,"Job titles ""tourism information officer"" and ""tourism information technician"" moved from minor group 112 to 6440."
121,Administrative services supervisors,B,1201,Administrative and financial supervisors,2,"Minor group 121 was split. Unit groups 1211 (now 12010), 1212 (now 12011), 1213 (now 12012) and 1215 (now 12013) moved from minor group 121 to 1201."
,,,7202,"Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators",2,Minor group 121 was split. Unit group 1214 (now 72025) moved from minor group 121 to 7202.
,,,1320,Transportation and production logistics coordinators and customs and related broker occupations,3,"Minor group 121 was split. Job titles related to non-supervisor logistics, freight, transportation positions moved from minor group 121 to 1320."
,,,7420,"Transport equipment operators, utility maintenance and related maintenance workers",4,"Minor group 121 was split. job title ""Ramp services supervisor - airport"" moved from minor group 121 to 7420."
122,Administrative and regulatory occupations,B,1001,Administrative services managers,0,"Minor group 122 was split. Job title ""Court registrar"" moved from minor group 122 to 1001."
,,,1210,Administrative and regulatory occupations,2,"Minor group 122 was split. Unit groups 1222 (now 12100), 1223 (now 12101), 1225 (now 12102) and 1226 (now 12103) moved from minor group 122 to 1210. Job titles related to employment insurance and revenue officers moved from minor group 122 to 1210."
,,,1310,"Administrative, property and payroll officers",3,Minor group 122 was split. Unit groups 1221 (now 13100) and 1224 (now 131001) moved from minor group 122 to 1310.
,,,1410,Office support and court services occupations,4,Minor group 122 was split. Job titles related to court officers and administrators moved from minor group 122 to 1410.
,,,4220,"Paraprofessional occupations in legal, social, community and education services",2,Minor group 122 was split. Job titles related to justice of the peace moved minor group from 122 to 4220.
,,,4320,Assisting occupations in legal and public protection,3,Minor group 122 was split. Job titles related to immigration and border services moved to minor group 4320.
124,"Office administrative assistants - general, legal and medical",B,1311,"Office administrative assistants - general, legal and medical",3,N/A
125,"Court reporters, transcriptionists, records management technicians and statistical officers",B,1211,"Court reporters, transcriptionists, records management technicians and statistical officers",2,N/A
131,"Finance, insurance and related business administrative occupations",B,1220,"Accounting, insurance and related business administrative occupations",2,"Minor group 131 was split. Unit groups 1311 (now 12200), 1312 (no 12201), 1313 (now 12202) and 1314 (now 12203) moved from minor group 131 to 1220."
,,,1320,Transportation and production logistics coordinators and customs and related broker occupations,3,Minor group 131 was split. Unit group 1315 (now 13200) moved from minor group 131 to 13200.
141,General office workers,C,1410,Office support and court services occupations,4,Label modified.
142,Office equipment operators,C,1411,"Survey, statistical and data entry occupations",4,Label modified.
143,"Financial, insurance and related administrative support workers",C,1310,"Administrative, property and payroll officers",3,Minor group 143 was split. Unit group 1432 (now 13102) moved from minor group 143 to 1310.
,,,1420,"Financial, insurance and related administrative support workers",4,"Minor group 143 was split. Unit groups 1431 (now 14200), 1434 (now 14201) and 1435 (now 14202) moved from minor group 143 to 1420."
145,"Library, correspondence and the clerks",C,1411,"Survey, statistical and data entry occupations",4,Minor group 145 was split. Unit group 1454 (now 14110) moved from minor group 145 to 1411.
,,,1430,"Library, correspondence and other clerks",4,Minor group 145 was split. Unit groups 1451 (now 14300) and 1452 (now 14301) moved from minor group 145 to 1430.
151,Mail and message distribution occupations,C,6440,Customer and information services representatives,4,Minor group 151 was split. Job titles related to postal clerks and workers moved from minor group 151 to 6440.
,,,7410,Mail and message distribution occupations,4,Minor group 151 was split. Unit group 1512 (now 74101) moved from minor group 151 to 7410. Job titles related to mail and parcel sorter moved from minor group 151 to 7410. Job titles related to couriers and messengers moved from 151 to 7410.
,,,7520,Taxi and personal service and delivery service drivers,5,Minor group 151 was split. Job titles related to door-to-door distributors moved from minor group 151 to 7520.
152,"Supply chain logistics, tracking and scheduling co-ordination occupations",C,1320,Transportation and production logistics coordinators and customs and related broker occupations,3,Job titles related to production logistic coordination moved from minor group 152 to 1320.
,,,1440,"Supply chain logistics, tracking and scheduling coordination occupations",4,"Unit groups 1512 (now 14400), 1522 (now 14401), 1523 (now 14402), 1524 (now 14403), 1525 (now 14404) and 1526 (now 14405) moved from minor group 152 to 1440."
211,Physical science professionals,A,2110,Physical science professionals,1,N/A
212,Life science professionals,A,2111,Life science professionals,1,N/A
213,"Civil, mechanical, electrical and chemical engineers",A,2130,Civil and mechanical engineers,1,Minor group 213 was split. Unit groups 2131 (now 21300) and 2132 (now 21301) moved from minor group 213 to 2130.
,,,2131,"Electrical, electronics and computer engineers",1,Minor group 213 was split. Unit group 2133 (now 21310) moved from minor group 213 to 2131.
,,,2132,Manufacturing and processing engineers,1,Minor group 213 was split. Unit group 2134 (now 21320) moved from minor group 213 to 2132.
214,Other engineers,A,2131,"Electrical, electronics and computer engineers",1,Minor group 214 was split. Unit group 2147 (now 21311) moved from minor group 214 to 2131.
